hh2_(sigma,mu)
0.1315066791971637990744901557	(7,26)
0.1315004695089606512536259035	(7,27)
0.1314957408143133908509808872	(7,28)
0.1314925558658388986057224656	(7,29)
0.131490953975999827200119819	(7,30)
0.1265237684598525027809728524	(8,1)
0.1265237610728058846195424741	(8,2)
0.1265237112622211386548551324	(8,3)
0.1265235509060956899809339886	(8,4)
0.1265231826883392515183653086	(8,5)
0.1265224858870923265079154064	(8,6)
0.1265213239441959952296609627	(8,7)
0.126519553582424588006625312	(8,8)
0.1265170350808844282977335067	(8,9)
0.1265136431443019340570560676	(8,10)
0.1265092776392779613002314833	(8,11)
0.1265038733555383294110058424	(8,12)
0.1264974079163274033895006793	(8,13)
0.1264899070334657968202589437	(8,14)
0.1264814464875193272599032375	(8,15)
0.126472150500789216862929108	(8,16)
0.1264621865296583010125108781	(8,17)
0.1264517568868050199321365346	(8,18)
0.1264410879582220942838679393	(8,19)
0.1264304180512464273202094595	(8,20)
0.1264199850549956939163994478	(8,21)
0.1264100150892815002611003026	(8,22)
0.1264007131607725170494984615	(8,23)
0.1263922565577713233896496475	(8,24)
0.1263847913388782144798462818	(8,25)
0.1263784318601249688821546969	(8,26)
0.1263732628979263443259847459	(8,27)
0.1263693436146393091887611264	(8,28)
0.1263667124205342695235480027	(8,29)
0.126365391733962139895677231	(8,30)
0.1209057237295792854980960924	(9,1)
0.12090571746830360770660949	(9,2)
0.1209056752493181489437152024	(9,3)
0.1209055393396776966492105233	(9,4)
0.1209052272959606348505697993	(9,5)
0.1209046369446006100716888379	(9,6)
0.1209036529443459468796086675	(9,7)
0.1209021547487706230629116003	(9,8)
0.1209000256339059375574153494	(9,9)
0.1208971622807718911674586953	(9,10)
0.1208934842363953362471687908	(9,11)
0.1208889424567926940043807008	(9,12)
0.1208835260964259914388146813	(9,13)
0.1208772667761206347414857323	(9,14)
0.120870239744283319992255519	(9,15)
0.1208625616331153960154427606	(9,16)
0.1208543848706776070659318659	(9,17)
0.1208458891932031630121525971	(9,18)
0.1208372710535334293036077428	(9,19)
0.1208287319858351042400712611	(9,20)
0.1208204671200277042169526488	(9,21)
0.1208126550171885514386635343	(9,22)
0.1208054498191686023755388109	(9,23)
0.1207989763954891791740120915	(9,24)
0.1207933287721776028244162336	(9,25)
0.1207885716972270866979170187	(9,26)
0.1207847447962445767612822249	(9,27)
0.1207818684545753476637503147	(9,28)
0.1207799503706438975605451349	(9,29)
0.120778991682949796484574591	(9,30)
0.1148980087929081498546707866	(10,1)
0.1148980039918448242855293684	(10,2)
0.1148979716197152383084308419	(10,3)
0.1148978674184916127238321317	(10,4)
0.1148976282329464272723699382	(10,5)
0.1148971759379852593958838672	(10,6)
0.1148964226850970378631418872	(10,7)
0.1148952773513452808054114699	(10,8)
0.114893652927193151625139572	(10,9)
0.1148914744052027768527640884	(10,10)
0.1148886865627614223169541649	(10,11)
0.114885260906828550095895664	(10,12)
0.1148812010038181516336246271	(10,13)
0.1148765454796860020275447661	(10,14)
0.1148713681536895388100906689	(10,15)
0.1148657750526989110458120679	(10,16)
0.1148598984088333229508576162	(10,17)
0.1148538881222699462318615305	(10,18)
0.1148479015153020312033740164	(10,19)
0.1148420924566534976714424374	(10,20)
0.1148366010522035061734964978	(10,21)
0.114831545055486593501220376	(10,22)
0.114827013949429000329810989	(10,23)
0.1148230663155893391165154266	(10,24)
0.1148197306851521705020595652	(10,25)
0.1148170096164139118436746297	(10,26)
0.1148148863292197021012374036	(10,27)
0.1148133329043978211802870046	(10,28)
0.1148123188683787167937871695	(10,29)
0.114811818953335324375427075	(10,30)
0.108576146961924656039576148	(11,1)
0.1085761440247592660051725686	(11,2)
0.1085761242216713263428332184	(11,3)
0.1085760604942063045675251997	(11,4)
0.1085759143044210587172867368	(11,5)
0.1085756382123374412191075462	(11,6)
0.1085751794311550320548207214	(11,7)
0.1085744843260308762101237074	(11,8)
0.1085735036840046740261451124	(11,9)
0.1085721984118434813528896349	(11,10)
0.1085705451484592790865230919	(11,11)
0.1085685411487074325072415844	(11,12)
0.1085662077437414457926667236	(11,13)
0.1085635917374458579578411835	(11,14)
0.108560764269132371756775547	(11,15)
0.1085578169482980608396083165	(11,16)
0.1085548554146723927997440094	(11,17)
0.1085519908456251654480683777	(11,18)
0.1085493302640272124889127871	(11,19)
0.1085469667354600356635358117	(11,20)
0.1085449706395010274930547938	(11,21)
0.1085433831321357526185378124	(11,22)
0.108542212687510918667924309	(11,23)
0.1085414352453091030570377219	(11,24)
0.1085409980440555815424640929	(11,25)
0.1085408267525287028429559338	(11,26)
0.1085408350859363113205568924	(11,27)
0.1085409357686331275454613914	(11,28)
0.108541051524066389752176971	(11,29)
0.1085411247584640473932850241	(11,30)
0.1020110306737817411434453959	(12,1)
0.1020110300807081307459380123	(12,2)
0.1020110260847584368421139867	(12,3)
0.1020110132574929975492248033	(12,4)
0.1020109840166155399527448467	(12,5)
0.1020109294991265105379602254	(12,6)
0.1020108409764365075948001254	(12,7)
0.1020107118794488383868232913	(12,8)
0.1020105403764266788935682136	(12,9)
0.1020103322824433487615071501	(12,10)
0.1020101039100911042266044721	(12,11)
0.1020098843374102900330748828	(12,12)
0.1020097165097807667153320455	(12,13)
0.1020096566366384493319590516	(12,14)
0.1020097715024301466163574625	(12,15)
0.1020101335730899712056657329	(12,16)
0.102010814111128994094797742	(12,17)
0.1020118748631981385323238708	(12,18)
0.1020133591938512048720700512	(12,19)
0.102015283750508028386117183	(12,20)
0.1020176318128517612020536229	(12,21)
0.1020203493826400161332722814	(12,22)
0.1020233448113212082165672622	(12,23)
0.1020264923733025713876204199	(12,24)
0.1020296397237242404792586158	(12,25)
0.102032618695230797280931106	(12,26)
0.1020352584549273811170749098	(12,27)
0.1020373997193090117222244057	(12,28)
0.1020389085546695904402269564	(12,29)
0.1020396882957396407864716454	(12,30)
0.0952678526839214158363093061	(13,1)
0.0952678549983221775358316838	(13,2)
0.0952678706085638216236242698	(13,3)
0.0952679209140471944869797772	(13,4)
0.0952680367237200790238821703	(13,5)
0.0952682570076536458215801432	(13,6)
0.0952686276425581392166096763	(13,7)
0.0952692003443936247826958229	(13,8)
0.095270031874332060117617002	(13,9)
0.0952711834515570255264606589	(13,10)
0.0952727201414400747073420304	(13,11)
0.095274709851452810158267323	(13,12)
0.0952772214995746712058969323	(13,13)
0.0952803219506158473622161296	(13,14)
0.0952840714566228160538325925	(13,15)
0.0952885175777903267378980589	(13,16)
0.0952936878669936643606972658	(13,17)
0.0952995819233994651447990151	(13,18)
0.09530616369905001092176125	(13,19)
0.0953133551197830117670934784	(13,20)
0.0953210321150337447043534104	(13,21)
0.0953290240191946221341778778	(13,22)
0.0953371170165293470251901371	(13,23)
0.0953450618847924073973211772	(13,24)
0.0953525858032922899964040748	(13,25)
0.0953594074948460053075861955	(13,26)
0.0953652545352398342538127	(13,27)
0.0953698813474038870388920982	(13,28)
0.0953730862431308796165718665	(13,29)
0.0953747259040692346016162169	(13,30)
0.0884055293897847275465889032	(14,1)
0.0884055352641809808585483784	(14,2)
0.0884055748807412050397942396	(14,3)
0.0884057024867648332643216023	(14,4)
0.0884059958935477954233806499	(14,5)
0.0884065526213943816332048722	(14,6)
0.088407485358922313469392921	(14,7)
0.0884089170811887607458421541	(14,8)
0.0884109760891246157065119439	(14,9)
0.0884137910970383207672301504	(14,10)
0.0884174863385134369485080677	(14,11)
0.0884221765245131750699545433	(14,12)
0.088427961410820233287895126	(14,13)
0.088434919745185000818736904	(14,14)
0.0884431024802525138738463348	(14,15)
0.0884525253468115837434855052	(14,16)
0.0884631611511824155293941055	(14,17)
0.088474932441177931087619369	(14,18)
0.0884877054190858803727377457	(14,19)
0.0885012861123943677794516922	(14,20)
0.0885154198024393005033735721	(14,21)
0.0885297945394163681810196503	(14,22)
0.0885440492478791945613134047	(14,23)
0.0885577864846121209433066301	(14,24)
0.0885705894056724352798956112	(14,25)
0.0885820419978076019905489302	(14,26)
0.0885917511985528961700620017	(14,27)
0.0885993692271758227382399868	(14,28)
0.0886046143164257111642065	(14,29)
0.0886072880923098729613808645	(14,30)
0.08147651395217773141131640714	(15,1)
0.08147652413331422982529596724	(15,2)
0.08147659279168068032904243711	(15,3)
0.08147681391162776863444819342	(15,4)
0.08147732216022133406890886423	(15,5)
0.08147828586868846965761663714	(15,6)
0.08147989849594769578124592753	(15,7)
0.08148236909972599108136208987	(15,8)
0.08148591229165788742232922799	(15,9)
0.08149073804145851257572506065	(15,10)
0.08149704155306532428027447689	(15,11)
0.0815049933018430514388338855	(15,12)
0.08151472923560543210400935591	(15,13)
0.08152634113325551056661269508	(15,14)
0.08153986719640159278294552464	(15,15)
0.08155528311309807511824484673	(15,16)
0.08157249404910644418259583265	(15,17)
0.08159132824420163121464103631	(15,18)
0.08161153306451397819186477923	(15,19)
0.08163277443524868809906820265	(15,20)
0.0816546405139272380989810853	(15,21)
0.08167665024744515087446126101	(15,22)
0.08169826709789643111381386905	(15,23)
0.08171891775851651993450860139	(15,24)
0.08173801516773207144532663105	(15,25)
0.08175498463186708054862806064	(15,26)
0.08176929145111874912515698101	(15,27)
0.0817804681648277025836257161	(15,28)
0.08178813942952876995891398265	(15,29)
0.0817920426339896687266244858	(15,30)
0.07452689453814063588784978247	(16,1)
0.07452690987108165667997988175	(16,2)
0.07452701326971736240585185394	(16,3)
0.07452734625142338431593570849	(16,4)
0.07452811148847844596272344395	(16,5)
0.07452956199326958174577933456	(16,6)
0.07453198777844575531546159263	(16,7)
0.07453570073152007577968762278	(16,8)
0.07454101843704820311114206056	(16,9)
0.07454824760186386619867060642	(16,10)
0.07455766761829010358867259138	(16,11)
0.074569514673301229330385472	(16,12)
0.07458396671523761529726713152	(16,13)
0.07460112955278899340025749866	(16,14)
0.07462102439711779971509809379	(16,15)
0.07464357726099388475736198981	(16,16)
0.07466861077253829036830762958	(16,17)
0.07469583910403359706255466817	(16,18)
0.07472486680949510579822888405	(16,19)
0.07475519236282375385011538552	(16,20)
0.07478621705937571562544031588	(16,21)
0.07481725967684838204922867603	(16,22)
0.07484757690028660724881584095	(16,23)
0.07487638903776451318132696595	(16,24)
0.07490291004234616830325279882	(16,25)
0.07492638037542885749793082053	(16,26)
0.07494610085858154419051861016	(16,27)
0.07496146541744557501782991649	(16,28)
0.07497199055716462846327466078	(16,29)
0.0749773395383529063703462882	(16,30)
0.06759668425232502148543353537	(17,1)
0.06759670568344005667440757353	(17,2)
0.06759685020391130877767626976	(17,3)
0.06759731559440851406674557785	(17,4)
0.06759838501688646586030822103	(17,5)
