ldd221_(sigma,mu)
-0.0125084135892811442519716343	(23,6)
-0.0124351023917248243869828416	(23,7)
-0.0123230654234931409225742368	(23,8)
-0.0121629708856921645386997909	(23,9)
-0.0119460132335332172588623893	(23,10)
-0.0116644709323608304259848215	(23,11)
-0.0113122320763169683393585752	(23,12)
-0.0108852628230640235091728417	(23,13)
-0.010381995982678785272604458	(23,14)
-0.0098036205122515364326207852	(23,15)
-0.0091542569525144775265332444	(23,16)
-0.0084410087967532086182452481	(23,17)
-0.0076738851710178998467793967	(23,18)
-0.0068655957783796008036274857	(23,19)
-0.0060312245708193137842050117	(23,20)
-0.0051877938298085424093716541	(23,21)
-0.0043537350579209604901598116	(23,22)
-0.0035482871376341247000296338	(23,23)
-0.002790845458269383923355425	(23,24)
-0.002100288030942337409202812	(23,25)
-0.001494305907933303081494771	(23,26)
-0.000988765420428241462749672	(23,27)
-0.000597128796042970806587738	(23,28)
-0.000329957600683397710755556	(23,29)
-0.00019452020500971913722739	(23,30)
-0.0173682546269344799735153227	(24,1)
-0.0173677534541112000967714146	(24,2)
-0.017364373867331767837875177	(24,3)
-0.0173534915730442538768370282	(24,4)
-0.0173284896402486211326217135	(24,5)
-0.0172811254755529674985763536	(24,6)
-0.017201993494922632742028057	(24,7)
-0.0170810621648008786667960654	(24,8)
-0.0169082605520809419638298223	(24,9)
-0.0166740870810199914846565941	(24,10)
-0.016370211964029166779706966	(24,11)
-0.0159900448217867360908182625	(24,12)
-0.0155292403502536264092401561	(24,13)
-0.0149861174806188141376637826	(24,14)
-0.0143619712012847406315856306	(24,15)
-0.0136612608945164502578991146	(24,16)
-0.0128916644562257643049841489	(24,17)
-0.0120639933492131978755107615	(24,18)
-0.011191969804352785431994189	(24,19)
-0.010291873352028254191917838	(24,20)
-0.0093820694834152547204849867	(24,21)
-0.0084824382907206228657261039	(24,22)
-0.0076137252407028019406988037	(24,23)
-0.0067968396567349792407272517	(24,24)
-0.006052128909384632278232739	(24,25)
-0.005398657652015439454995352	(24,26)
-0.004853521611438957593108519	(24,27)
-0.004431224401468011604300985	(24,28)
-0.004143143551502947342391892	(24,29)
-0.0039971084671107457201489	(24,30)
-0.021188379922618389319270137	(25,1)
-0.0211878427734370615691326054	(25,2)
-0.0211842205859793692814701556	(25,3)
-0.0211725571241557847980261948	(25,4)
-0.0211457605176005884609220342	(25,5)
-0.0210949966728006780315398397	(25,6)
-0.0210101853407846045220225714	(25,7)
-0.0208805760013877045325155133	(25,8)
-0.0206953769099344626602237154	(25,9)
-0.0204444079993040513173872041	(25,10)
-0.0201187469738018271895490194	(25,11)
-0.0197113379555690595143624252	(25,12)
-0.0192175334741826607796695476	(25,13)
-0.01863554338172475855818467	(25,14)
-0.0179667683106134376869606088	(25,15)
-0.0172160003778234531195472336	(25,16)
-0.0163914797206848114222427143	(25,17)
-0.0155048018251662753826607419	(25,18)
-0.0145706771574688260061120441	(25,19)
-0.0136065510230838224103424649	(25,20)
-0.0126320975766203157054774046	(25,21)
-0.0116686072610689272321570329	(25,22)
-0.0107382914882477453108078815	(25,23)
-0.0098635319483065832874350169	(25,24)
-0.00906610445148168645124626	(25,25)
-0.008366408574341567298823332	(25,26)
-0.007782734532823756579120122	(25,27)
-0.007330597579982561094745704	(25,28)
-0.007022167803934106952297099	(25,29)
-0.0068658195098031046402007	(25,30)
-0.0241722201906161263377398719	(26,1)
-0.0241716478119337245241202878	(26,2)
-0.0241677880602414010845940422	(26,3)
-0.0241553596497005177384463882	(26,4)
-0.0241268056401944134285870783	(26,5)
-0.0240727127534360078257132162	(26,6)
-0.0239823401781218479796747086	(26,7)
-0.0238442335460936410400695125	(26,8)
-0.0236468956666201651293977934	(26,9)
-0.0233794827386550698096180374	(26,10)
-0.023032493274300040352896631	(26,11)
