c^3_2_(sigma,mu)
-0.0218319456020863793443353	(18,12)
-0.02437136015811766911872664	(18,13)
-0.02660288350326820464040292	(18,14)
-0.02842373110319277493101346	(18,15)
-0.02974525149998189824110354	(18,16)
-0.03049981776840365742579928	(18,17)
-0.03064684143670378891147304	(18,18)
-0.03017730781231896401672557	(18,19)
-0.02911633785069996873728811	(18,20)
-0.02752344078968207429293295	(18,21)
-0.02549031645037382412669398	(18,22)
-0.02313627558060007247246031	(18,23)
-0.02060154947055056166414555	(18,24)
-0.0180389369708617498959432	(18,25)
-0.01560437283585428517476951	(18,26)
-0.0134470862300738528397712	(18,27)
-0.01170004816595184443167655	(18,28)
-0.0104713826118629729819447	(18,29)
-0.009837343133185320621748	(18,30)
-0.0000601515706052752403787306	(19,1)
-0.0005403574370913946619700719	(19,2)
-0.001495177413039208445816361	(19,3)
-0.002912396690200114369644654	(19,4)
-0.004771282805004258034736053	(19,5)
-0.007040145409198264866735078	(19,6)
-0.009673782590511570222786029	(19,7)
-0.012611311050275384068216448	(19,8)
-0.015774883317861264915354892	(19,9)
-0.019069737562545089571634053	(19,10)
-0.022385907017474043704619375	(19,11)
-0.02560174646940594687298469	(19,12)
-0.02858922961142355659197888	(19,13)
-0.03122075581443592998531523	(19,14)
-0.03337700365772177277027722	(19,15)
-0.03495520677480586223435248	(19,16)
-0.03587712679848402641145699	(19,17)
-0.03609597289469808257518836	(19,18)
-0.03560157261141733987144273	(19,19)
-0.03442322934477430629690152	(19,20)
-0.0326298930404944151855904	(19,21)
-0.03032750112570292136958603	(19,22)
-0.02765359069160324154028063	(19,23)
-0.02476951515671421781921303	(19,24)
-0.02185079684141047963348092	(19,25)
-0.01907629456928949631199424	(19,26)
-0.01661695295263458280352577	(19,27)
-0.01462492464704365476992909	(19,28)
-0.0132238216517092817097601	(19,29)
-0.012500764022849105320602	(19,30)
-0.0000701248680550829767195577	(20,1)
-0.0006299502954552944202565287	(20,2)
-0.0017430840104517162052579732	(20,3)
-0.003395295220113994786550326	(20,4)
-0.005562441526126050131593584	(20,5)
-0.008207638688420943448956549	(20,6)
-0.011278300778021108215869301	(20,7)
-0.014703629761844636783167582	(20,8)
-0.018393140897132030800997423	(20,9)
-0.022236743194441531816779861	(20,10)
-0.026106755199995594335793688	(20,11)
-0.02986203685160019112041078	(20,12)
-0.03335417817783553033612249	(20,13)
-0.03643543211065869249788995	(20,14)
-0.03896784256626195939878154	(20,15)
-0.04083283089887075050965421	(20,16)
-0.04194038972374217072099994	(20,17)
-0.04223700985568481873709901	(20,18)
-0.04171153882554963571928541	(20,19)
-0.04039833051950488909340456	(20,20)
-0.03837727590651551113756658	(20,21)
-0.03577057731332575232992422	(20,22)
-0.03273641218349060497517504	(20,23)
-0.02945989650534241157718594	(20,24)
-0.02614197784598062391971478	(20,25)
-0.02298704559827509702284052	(20,26)
-0.02019013280963099780835361	(20,27)
-0.01792459924513435107457552	(20,28)
-0.016331135138317359601557	(20,29)
-0.015508819656451837245552	(20,30)
-0.0000813630150596135130558281	(21,1)
-0.0007309055787412265727666416	(21,2)
-0.0020224296342058856612592429	(21,3)
-0.003939426438315065077834842	(21,4)
-0.006453892634108167391452313	(21,5)
-0.009523051449160802456412311	(21,6)
-0.013085926140634203930778263	(21,7)
-0.017060439358456963050608341	(21,8)
-0.021341721295877175772605132	(21,9)
-0.025802231361495552922472176	(21,10)
-0.030294135053312500242486921	(21,11)
-0.03465414282538093979190906	(21,12)
-0.03871073469650332360418996	(21,13)
-0.04229339558249928235152246	(21,14)
-0.0452432092542538627520407	(21,15)
-0.0474239406064300588292288	(21,16)
-0.04873260765434963864372686	(21,17)
-0.04910852608380177547644686	(21,18)
-0.04853990509167497445449686	(21,19)
-0.04706727268241447835250511	(21,20)
-0.04478328664490535458151037	(21,21)
-0.04182880973259221869134666	(21,22)
-0.03838545603065337667981656	(21,23)
-0.03466511436180102258139877	(21,24)
-0.03089719536918489471193727	(21,25)
-0.02731451343628663099770481	(21,26)
-0.02413879577228694987886277	(21,27)
-0.02156681158638026416717538	(21,28)
-0.0197580443058671262626831	(21,29)
-0.018824703273434842235585	(21,30)
-0.0000939643410987432679493215	(22,1)
-0.0008441065689946123929619142	(22,2)
-0.0023356576372687955697854708	(22,3)
-0.004549545249857194670865503	(22,4)
-0.00745340934102226410421454	(22,5)
-0.010997806821370060234149866	(22,6)
-0.015112248222492483332877487	(22,7)
-0.019701849634006818563874164	(22,8)
-0.024645394898292679809236832	(22,9)
-0.029795512089367461118951314	(22,10)
-0.034981476905630039209122895	(22,11)
-0.04001487873084073279764904	(22,12)
-0.04469805087890893210408563	(22,13)
-0.04883481405484547075651184	(22,14)
-0.05224275681663433094969472	(22,15)
-0.05476602400264158992874474	(22,16)
-0.0562874411138703598007911	(22,17)
-0.05673879242445852564655887	(22,18)
-0.05610819717753551837898898	(22,19)
-0.05444377588433580905411233	(22,20)
-0.05185313488277715090690176	(22,21)
-0.04849857845522251228018448	(22,22)
-0.04458833731335199334345342	(22,23)
-0.04036443796465278416959198	(22,24)
-0.03608809765910928396786244	(22,25)
-0.03202369625633877268560376	(22,26)
-0.02842244539378763256373898	(22,27)
-0.02550685438601848623433358	(22,28)
-0.0234569967176772366996011	(22,29)
-0.022399429547811855288344	(22,30)
-0.0001080153610002323184754674	(23,1)
-0.0009703304080376212913019361	(23,2)
-0.0026849175674338346486594393	(23,3)
-0.005229833556355700404326976	(23,4)
-0.008567823447024978362820534	(23,5)
-0.01264193137183570421168352	(23,6)
-0.01737092039085570797370521	(23,7)
-0.022645412085554703575292612	(23,8)
-0.028325671028642092361595872	(23,9)
-0.034241853453816336991843825	(23,10)
-0.040197314607851065928281492	(23,11)
-0.04597524252811726988803233	(23,12)
-0.05134849080949123640280281	(23,13)
-0.05609206666697071908069506	(23,14)
-0.05999734874212247778925515	(23,15)
-0.06288681674249713034436305	(23,16)
-0.06462791723496805616147676	(23,17)
-0.06514469322322026992891536	(23,18)
-0.0644259720077353069326864	(23,19)
-0.06252921400789218550896668	(23,20)
-0.05957953200279280302672254	(23,21)
-0.05576384065020580998736296	(23,22)
-0.05132053310906126619787793	(23,23)
-0.04652545565294055683189809	(23,24)
-0.04167522756897029559192136	(23,25)
-0.03706911567406256053635287	(23,26)
-0.03299072113657070735760732	(23,27)
-0.0296906852652308629262012	(23,28)
-0.0273714928586867332834212	(23,29)
-0.026175271140385443934921	(23,30)
-0.0001235889414825025761580162	(24,1)
-0.0011102316277637433512643738	(24,2)
-0.003072019608920371741068428	(24,3)
-0.005983811599602492207846058	(24,4)
-0.009802880418957102195947569	(24,5)
-0.014463842175590617161853058	(24,6)
-0.019873369367093048428384005	(24,7)
-0.025905745555766084950417173	(24,8)
-0.032400337674126459075501937	(24,9)
-0.039161938895181873066318047	(24,10)
-0.045964670719769133609597844	(24,11)
-0.05255974700845882553816469	(24,12)
-0.0586869350296577208892587	(24,13)
-0.06408905672194917723150947	(24,14)
-0.06852842514105294789228567	(24,15)
-0.07180377379857014560935023	(24,16)
-0.07376606465714505117173945	(24,17)
-0.07433158432955901738333709	(24,18)
-0.07349095735121026229357827	(24,19)
-0.07131308912676054852127358	(24,20)
-0.06794354341891034885478069	(24,21)
-0.06359739063835286112510974	(24,22)
-0.05854706409918096426897351	(24,23)
-0.05310617421233017554548196	(24,24)
-0.0476105180461514782753065	(24,25)
-0.04239767000352659496534891	(24,26)
-0.03778655620498929904038575	(24,27)
-0.0340583237736705218902909	(24,28)
-0.0314396477307237097653821	(24,29)
-0.030089404108173251468469	(24,30)
-0.0001407435583975243718722584	(25,1)
-0.0012643354785162196781550612	(25,2)
-0.003498416136111208342021883	(25,3)
-0.006814302120145477261268454	(25,4)
-0.011163181010108876894216222	(25,5)
-0.016470261625835801808570015	(25,6)
-0.02262868038351525939569875	(25,7)
-0.029494391030331702813893319	(25,8)
-0.036883288190671536195220384	(25,9)
