luu122_(sigma,mu)
0.00074639744158548357515388608	(12,21)
0.0008702973755125004686044047	(12,22)
0.00089570648968784931279804691	(12,23)
0.00083522052460565270746467177	(12,24)
0.0007088840230237426711265689	(12,25)
0.00054214319887078306800059521	(12,26)
0.00036311502523994172589169938	(12,27)
0.00019947966272938157638910137	(12,28)
0.00007536151686944863537694761	(12,29)
8.5753446025653866827553e-6	(12,30)
-0.00532153988384436443440002757	(13,1)
-0.00532087434380896919456849026	(13,2)
-0.00531638728663109673151698884	(13,3)
-0.00530194977179160840072032532	(13,4)
-0.0052688424400494786425756622	(13,5)
-0.00520636268135357951999620727	(13,6)
-0.00510267608417735480785656066	(13,7)
-0.00494590969992001359290825379	(13,8)
-0.0047254473839408142711995099	(13,9)
-0.00443334080773858662004583538	(13,10)
-0.00406570273658893899583773061	(13,11)
-0.0036239125552435353916962706	(13,12)
-0.00311544806930726659598768068	(13,13)
-0.00255416993927798752147621325	(13,14)
-0.00195992886959823709448264151	(13,15)
-0.0013574384499249949914191781	(13,16)
-0.00077445021674268280787292346	(13,17)
-0.00023936923549929963679651566	(13,18)
0.00022145734334864354302252985	(13,19)
0.00058647561579025088443925355	(13,20)
0.00084134717546138026246901072	(13,21)
0.00098073278104308761579490803	(13,22)
0.00100917048154249961401996564	(13,23)
0.00094088137632737799366021528	(13,24)
0.00079846571167562091822403582	(13,25)
0.00061059370671575164351424293	(13,26)
0.00040892964063507947744277875	(13,27)
0.00022463506594761486278202893	(13,28)
0.00008486166589367742814871516	(13,29)
9.6561717201514524880417e-6	(13,30)
-0.00584193201859598957568784208	(14,1)
-0.00584120087466570470135154052	(14,2)
-0.00583627151939376284601612509	(14,3)
-0.00582041089396034423238343136	(14,4)
-0.00578404029882953443617282458	(14,5)
-0.00571540267104953054223039871	(14,6)
-0.00560149846494398288714616152	(14,7)
-0.00542928745107733566848272337	(14,8)
-0.00518711269467405158306937304	(14,9)
-0.00486625156756256185078769552	(14,10)
-0.00446244688251622358539918189	(14,11)
-0.00397723094988946451419826152	(14,12)
-0.00341883787988872782605589119	(14,13)
-0.00280251320262437338318242956	(14,14)
-0.00215007830397253805466702091	(14,15)
-0.0014886875464921766706842522	(14,16)
-0.00084881923319555688843897036	(14,17)
-0.00026165354140541483522906274	(14,18)
0.00024390609304813546582862183	(14,19)
0.00064423442996985141745438294	(14,20)
0.0009236385579502832516563956	(14,21)
0.00107630800371594193395808066	(14,22)
0.00110726922039220352220360301	(14,23)
0.00103216334536076200661896593	(14,24)
0.00087580840667722059800450634	(14,25)
0.00066966226098414163963001554	(14,26)
0.00044844888768513029102954547	(14,27)
0.00024632731363012995170812611	(14,28)
0.00009305226865772791501487851	(14,29)
0.0000105879179513335819016936	(14,30)
-0.0062443438777365788734436109	(15,1)
-0.00624356174027491019307640527	(15,2)
-0.00623828859023958153179809472	(15,3)
-0.00622132180428395126425734989	(15,4)
-0.00618241479692184619724002865	(15,5)
-0.00610899115069771649320498955	(15,6)
-0.00598714637677463998499490221	(15,7)
-0.00580293446288206940145369108	(15,8)
-0.00554389231827683153345042985	(15,9)
-0.00520070006347300123535193926	(15,10)
-0.0047688195772231770519144345	(15,11)
-0.00424991053195734427903825156	(15,12)
-0.00365280451601924692456650403	(15,13)
-0.002993832796621177277623505	(15,14)
-0.00229635550069870371366536493	(15,15)
-0.00158942647899313964833096854	(15,16)
-0.0009056390746084267599200986	(15,17)
-0.00027831804650738989313295748	(15,18)
0.00026166664204339058822162724	(15,19)
0.00068910635593046725307993511	(15,20)
0.00098728470412430868201697093	(15,21)
0.00115005233705827572632685067	(15,22)
0.0011828357181193105366434526	(15,23)
0.0011023887305561043027997046	(15,24)
0.00093524818045423945446575003	(15,25)
0.00071501950448636636811944333	(15,26)
0.00047877430932380261536217174	(15,27)
0.00026296463606824377856401736	(15,28)
0.00009933210089424535144861	(15,29)
0.0000113021778273254836048265	(15,30)
-0.00649374125732301385061477669	(16,1)
-0.00649292715187807142873506039	(16,2)
-0.00648743847736458304496788595	(16,3)
-0.00646977825731953029566744827	(16,4)
-0.0064292813092816867903911428	(16,5)
-0.00635285792673354883416923041	(16,6)
-0.00622603728740522095633074915	(16,7)
-0.00603430766249283573327183189	(16,8)
-0.00576470450260532341961325309	(16,9)
-0.00540753986333433056631700177	(16,10)
-0.00495810864320323399990491774	(16,11)
-0.00441816206558653080717648616	(16,12)
-0.00379691951524771048001295482	(16,13)
-0.00311140569551121971384171286	(16,14)
-0.00238595491750679835086018381	(16,15)
-0.00165081494872381951128573813	(16,16)
-0.00093989887436506293941419619	(16,17)
-0.00028785864651421321978394022	(16,18)
0.00027323115257442309316407978	(16,19)
0.00071720594601480774957855643	(16,20)
0.00102674813370529320710921182	(16,21)
0.00119553360469007341980112845	(16,22)
0.00122926756570311938735145114	(16,23)
0.00114541373837286368963628668	(16,24)
0.00097157937237517664663778553	(16,25)
0.00074268973884866281485352392	(16,26)
0.00049724601365925926196508251	(16,27)
0.00027308701828971716092913312	(16,28)
0.0001031498901212512143262599	(16,29)
0.0000117362399092779786588	(16,30)
-0.00656115533858247948052718884	(17,1)
-0.0065603319688588760193625286	(17,2)
-0.0065547808379955388519955836	(17,3)
-0.00653691969710254184162214041	(17,4)
-0.00649596222828383193522138611	(17,5)
-0.0064186705943255833187742387	(17,6)
-0.00629041150395181570312392821	(17,7)
-0.00609651287135992859006358418	(17,8)
-0.00582387145797266157035065918	(17,9)
-0.00546270339678993450136280461	(17,10)
-0.00500827064362904201442646185	(17,11)
-0.00446237074062475652761630058	(17,12)
-0.00383435781972556392843338418	(17,13)
-0.00314147913292939887658358834	(17,14)
-0.00240836741038564625833616223	(17,15)
-0.00166562165490391646624796847	(17,16)
-0.00094752692207188442583071464	(17,17)
