b^3^2_2_(sigma,mu)
0.0019953386833613482133530779	(10,11)
0.0019205366137814298006252604	(10,12)
0.0018310265061038869114976108	(10,13)
0.0017271551663345553803197126	(10,14)
0.0016099634640206014520222112	(10,15)
0.0014811657268567541346767883	(10,16)
0.0013430795075516715843351427	(10,17)
0.0011985109326569219077030595	(10,18)
0.0010506057698625109473961338	(10,19)
0.0009026802583268385810273956	(10,20)
0.0007580480243082273107083951	(10,21)
0.0006198596574111788563357679	(10,22)
0.0004909696478578620376957083	(10,23)
0.0003738415966917374527224069	(10,24)
0.0002704974152025065888403836	(10,25)
0.0001825103522695394753420978	(10,26)
0.0001110359635242404593587194	(10,27)
0.0000568703822269279053813554	(10,28)
0.00002052214641640015336294027	(10,29)
2.28281684676732673060845e-6	(10,30)
0.002767150147971407294942012	(11,1)
0.002767025069001640462053963	(11,2)
0.002766181659351029263348786	(11,3)
0.002763466375508729002794612	(11,4)
0.002757230943983161340717209	(11,5)
0.002745429490238745403720052	(11,6)
0.00272574497012584270650253	(11,7)
0.002695740774519114203541628	(11,8)
0.0026530309866838869205675164	(11,9)
0.0025954601509822145075767186	(11,10)
0.002521281003767564237274349	(11,11)
0.0024293169339644735790202804	(11,12)
0.002319095461834468695180551	(11,13)
0.0021909400949398079328893881	(11,14)
0.0020460106639350539262539972	(11,15)
0.0018862865082795569650487202	(11,16)
0.0017144922481339253865901525	(11,17)
0.0015339716918545676022703366	(11,18)
0.0013485209055599805398513234	(11,19)
0.0011621958231112591949891351	(11,20)
0.0009791123393137523285508817	(11,21)
0.000803257186786338645965267	(11,22)
0.0006383259483555967342308637	(11,23)
0.0004876005468074835014149162	(11,24)
0.0003538730382014468417084165	(11,25)
0.0002394162963872627723061518	(11,26)
0.0001459961042901001282817209	(11,27)
0.0000749141228938466511614839	(11,28)
0.00002706789581502701792594084	(11,29)
3.01291144579406087743931e-6	(11,30)
0.003415680184269679338512781	(12,1)
0.003415531260665596741643301	(12,2)
0.003414527057480318003557041	(12,3)
0.003411294009270907455699996	(12,4)
0.003403868974398471733375661	(12,5)
0.003389813734996787045397699	(12,6)
0.003366363264537528376914088	(12,7)
0.003330602596741644282480589	(12,8)
0.003279664590777801642709307	(12,9)
0.003210938178267219770849872	(12,10)
0.0031222742415240471548304	(12,11)
0.0030121746196116142877395147	(12,12)
0.0028799493455149575538050336	(12,13)
0.0027258284229052713033418194	(12,14)
0.0025510173687749959156752642	(12,15)
0.0023576902167889393836869561	(12,16)
0.0021489192557539503778436858	(12,17)
0.0019285468022155822367943931	(12,18)
0.0017010099822800487141200736	(12,19)
0.0014711340325412074378248695	(12,20)
0.0012439123658618709403906039	(12,21)
0.0010242921770524456068223999	(12,22)
0.0008169826015765685737288427	(12,23)
0.0006262986435255325144874117	(12,24)
0.0004560488143530067170797181	(12,25)
0.0003094684399976849520006833	(12,26)
0.0001891947601715862314472905	(12,27)
0.0000972750778144400716007729	(12,28)
0.00003519597613471980199712405	(12,29)
3.92041091306291084373721e-6	(12,30)
0.004136988679585766435579834	(13,1)
0.004136816082781419441380877	(13,2)
0.004135652236400146857629135	(13,3)
0.004131905060445905088489209	(13,4)
0.004123298387265555557761465	(13,5)
0.004107002961237818140830762	(13,6)
0.004079804909151745943041068	(13,7)
0.004038305324696493539841794	(13,8)
0.003979142128317367200575271	(13,9)
0.003899222837199186057118614	(13,10)
0.00379595469872713439069359	(13,11)
0.003667457246570520452341081	(13,12)
0.003512742140187927441100238	(13,13)
0.0033318464307126941169868292	(13,14)
0.0031259082432304842500306018	(13,15)
0.0028971781171470127214425441	(13,16)
0.0026489644977144571018191817	(13,17)
0.0023855175213112942395196372	(13,18)
0.0021118605764283098051768778	(13,19)
