e^1_(sigma,mu)
2.930155335831432733838726	(13,20)
2.934050104831086731114032	(13,21)
2.937876335728600484594779	(13,22)
2.941547496751680483184011	(13,23)
2.9449785190669228048325	(13,24)
2.948088572550327115193331	(13,25)
2.950803595319202233122704	(13,26)
2.953058505106019256757536	(13,27)
2.954799049299536276551647	(13,28)
2.955983274931243081999163	(13,29)
2.95658261753593032994145	(13,30)
2.6091736505464024308727691	(14,1)
2.6091755394471119785211417	(14,2)
2.6091882767496118888156482	(14,3)
2.6092292882653633776529199	(14,4)
2.6093234961402237212699663	(14,5)
2.6095019059865606543366559	(14,6)
2.6097998042424844766693179	(14,7)
2.610254639727646158326601	(14,8)
2.6109036847788430359471024	(14,9)
2.6117815913422279864966002	(14,10)
2.6129179733106406381559717	(14,11)
2.6143351553165669241783186	(14,12)
2.6160462275184595395001392	(14,13)
2.6180535339149302889343563	(14,14)
2.6203476979916119672970748	(14,15)
2.6229072552626290605940615	(14,16)
2.6256989203322574402209088	(14,17)
2.6286784706006791650602146	(14,18)
2.6317921845522358958631912	(14,19)
2.6349787346090655677839561	(14,20)
2.6381714069959352058045237	(14,21)
2.6413005067519466674876824	(14,22)
2.6442958059394409950088794	(14,23)
2.6470889062971622367891594	(14,24)
2.6496154113689737736674987	(14,25)
2.651816833529534975861187	(14,26)
2.653642193706271519616661	(14,27)
2.655049301427128487562672	(14,28)
2.656005726320758628092681	(14,29)
2.65648948684212649013909	(14,30)
2.355604884422911880939054	(15,1)
2.3556063415611323048297987	(15,2)
2.3556161673197821435842653	(15,3)
2.3556478034575570824099908	(15,4)
2.355720470449471429670355	(15,5)
2.3558580687236690301189902	(15,6)
2.3560877705773181202553339	(15,7)
2.356438357953587152863834	(15,8)
2.3569383802201270663748936	(15,9)
2.3576142247610748710304541	(15,10)
2.3584882088494286191265353	(15,11)
2.3595768108465482656485242	(15,12)
2.3608891594832983014009318	(15,13)
2.3624258898908699918173381	(15,14)
2.3641784536359398847287523	(15,15)
2.3661289384292430544221764	(15,16)
2.3682504142609283268225514	(15,17)
2.3705077806769124822194277	(15,18)
2.3728590497161595670918615	(15,19)
2.3752569656304167343898417	(15,20)
2.3776508400303477566257124	(15,21)
2.3799884721607403381518632	(15,22)
2.3822180292817902638103952	(15,23)
2.3842897802733588917141469	(15,24)
2.3861576034549965658169807	(15,25)
2.3877802228519935781962404	(15,26)
2.3891221608292708874864709	(15,27)
2.3901544244778069598571735	(15,28)
2.390854964592343733331174	(15,29)
2.391208957146861119839124	(15,30)
2.1284800204161606732108703	(16,1)
2.1284810099566681500626354	(16,2)
2.1284876825336698016875264	(16,3)
2.1285091653584994218765589	(16,4)
2.128558504984064969966171	(16,5)
2.1286519104393510254324958	(16,6)
2.1288077758571225036190678	(16,7)
2.1290455178009442583977575	(16,8)
2.1293842783274020746940599	(16,9)
2.1298415614335804643367097	(16,10)
2.1304318852630779753587377	(16,11)
2.1311655422089088866280822	(16,12)
2.1320475610015567640879884	(16,13)
2.1330769569924796544623036	(16,14)
2.1342463385042311059878688	(16,15)
2.135541909376429428407593	(16,16)
2.1369438734436388851383246	(16,17)
2.1384272097457432245954926	(16,18)
2.1399627526331167542334056	(16,19)
2.1415184833539428601448402	(16,20)
2.1430609230682441199661538	(16,21)
2.1445565138157198427211359	(16,22)
2.1459728840912784194857972	(16,23)
2.1472799176525854261048735	(16,24)
2.1484505745832180847446774	(16,25)
2.1494614479172932412601326	(16,26)
2.1502930723592167799955505	(16,27)
2.150930029232717370002762	(16,28)
2.1513609102064612039084131	(16,29)
2.151578209472225484037353	(16,30)
