a^2^2^2_2_(sigma,mu)
5.333330824290993568201773499	(12,1)
5.333130842628955305627005934	(12,2)
5.331782295600197302181831091	(12,3)
5.327439970376485593307523146	(12,4)
5.317463568830751998733423371	(12,5)
5.298564208702250120202100617	(12,6)
5.266989178100744497863602931	(12,7)
5.218736451149533010785560004	(12,8)
5.149789048081275609568640752	(12,9)
5.056358329033391675568507077	(12,10)
4.935124797261545449956469886	(12,11)
4.783464984820577247150142891	(12,12)
4.599653509843966111297441093	(12,13)
4.383030413156809894729871476	(12,14)
4.1341253622936404221370602858	(12,15)
3.8547321887487879228786320204	(12,16)
3.5479294142400725478222010706	(12,17)
3.2180448219020819776414076841	(12,18)
2.8705646252387639194390656855	(12,19)
2.5119902628685812917267850479	(12,20)
2.1496481837457215554109811963	(12,21)
1.7914600770455215528670359901	(12,22)
1.4456827488637917447498598695	(12,23)
1.1206281789007030812171770426	(12,24)
0.8243751512981270904009320248	(12,25)
0.5644842156475196538405196156	(12,26)
0.3477275916807604729798107627	(12,27)
0.1798450015097563224151763692	(12,28)
0.0653353334679832079173871771	(12,29)
0.0072925650173421690493247442	(12,30)
5.33333082245903246883467577	(13,1)
5.333130694787188652787148264	(13,2)
5.331781163447190880588724677	(13,3)
5.32743567210501018469780598	(13,4)
5.317452015928996962602057079	(13,5)
5.298538986930790861415166043	(13,6)
5.26694133698040963327120086	(13,7)
5.218654568158371205120589923	(13,8)
5.149659624505336973665329267	(13,9)
5.056166551002399767343871264	(13,10)
4.934855657662043115184476047	(13,11)
4.783104712538208987648865093	(13,12)
4.599191198317474897347873237	(13,13)
4.382459689060964330890042878	(13,14)
4.133445896852272531385147198	(13,15)
3.8539508375956068364328170801	(13,16)
3.5470607833959532385355790963	(13,17)
3.2171110999946123048797752385	(13,18)
2.8695945934936819191047973143	(13,19)
2.511017487708971313368221218	(13,20)
2.1487085008820538355403722716	(13,21)
1.7905885767777167760600338038	(13,22)
1.4449105551998374114254308373	(13,23)
1.1199793667409103829343338431	(13,24)
0.8238641566793443404266493295	(13,25)
0.5641140595579739977773464958	(13,26)
0.3474891601999497314360046318	(13,27)
0.1797175122576050404876655024	(13,28)
0.0652879841648526522124586601	(13,29)
0.0072872214906974063055925938	(13,30)
5.333330820169561950894244736	(14,1)
5.333130510023801564251104716	(14,2)
5.331779748554019569468038168	(14,3)
5.327430300407131299402498897	(14,4)
5.317437577930137798170461409	(14,5)
5.298507466795496755663372765	(14,6)
5.266881549797924653241860474	(14,7)
5.218552240821285332737152709	(14,8)
5.14949789143395695470854242	(14,9)
5.055926906588636884705590937	(14,10)
4.934519359867428924307758572	(14,11)
4.782654570364839746143208862	(14,12)
4.598613607647024045178789023	(14,13)
4.3817467173551408446039807891	(14,14)
4.1325971694198149280587013504	(14,15)
3.8529749576899027471243767333	(14,16)
3.5459760334197476172227714308	(14,17)
3.2159452248112521711063099628	(14,18)
2.868383556570593538167353185	(14,19)
2.5098032077136713161767704384	(14,20)
2.1475357063309069967869425259	(14,21)
1.7895010419035890692324879032	(14,22)
1.4439470829660574867846296374	(14,23)
1.1191699484318141849844629653	(14,24)
0.8232267499018806237198121812	(14,25)
0.5636523826469680491839883438	(14,26)
0.3471918035997332809932793741	(14,27)
0.1795585268924628338483756385	(14,28)
0.0652289400759300938800942469	(14,29)
0.0072805583297958212091764825	(14,30)
5.33333081736263917947193249	(15,1)
5.333130283501336073398709028	(15,2)
5.331778013876617911661576186	(15,3)
5.327423714650155500013359956	(15,4)
5.317419876883493750168137084	(15,5)
5.298468823345779435045668635	(15,6)
5.266808252323839551974800589	(15,7)
5.218426793307926732627948605	(15,8)
5.149299622731591284589926333	(15,9)
5.055633140107408751895902105	(15,10)
4.934107136615787087060803406	(15,11)
4.78210284231354954679816727	(15,12)
4.597905734534642511190425416	(15,13)
4.3808730214986072681527193391	(15,14)
4.1315572446485200296716559857	(15,15)
3.8517794038803750770701744393	(15,16)
3.5446473071792772182759221634	(15,17)
3.214517363515007370671143854	(15,18)
2.8669006436813109767674721762	(15,19)
2.5083165910442612071705743974	(15,20)
2.1461001401859212634435765805	(15,21)
1.7881700773069623408732333547	(15,22)
1.4427681549599350342830515407	(15,23)
1.1181796857610623573700404053	(15,24)
0.8224470461072118508063751153	(15,25)
0.563087712751072272237481862	(15,26)
0.3468281507814419223219981829	(15,27)
0.179364111768182598622959512	(15,28)
0.0651567421954902251116547319	(15,29)
0.0072724109921542767136157299	(15,30)
5.333330813978539928887076455	(16,1)
5.333130010399979996306888388	(16,2)
5.331775922506241602341667685	(16,3)
5.327415774717490051907833487	(16,4)
5.317398536240056603849236459	(16,5)
5.298422234751062545313606859	(16,6)
5.266719886436714250435445943	(16,7)
5.218275560738712010155247593	(16,8)
5.149060610692122840468511074	(16,9)
5.05527902543102461359088746	(16,10)
4.933610266215343509250810365	(16,11)
4.781437880237502493651186634	(16,12)
4.597052673355724816608396068	(16,13)
4.379820260946115887639493734	(16,14)
4.1303043701377699304154674308	(16,15)
3.850339268480757383875501706	(16,16)
3.5430470444979104553073590341	(16,17)
3.212798040452974459179618235	(16,18)
2.8651153965238426094084641725	(16,19)
2.5065272622142490465523643035	(16,20)
2.1443726248930359300524084017	(16,21)
1.7865687731532076395725857679	(16,22)
1.4413500562868175376739745049	(16,23)
1.1169887543988236306692319492	(16,24)
0.8215095046080559717289655972	(16,25)
0.5624088385532826644600536835	(16,26)
0.3463910048486717304229782685	(16,27)
0.1791304289392711531474477533	(16,28)
0.0650699677071015001333363944	(16,29)
0.0072626190563048409802479724	(16,30)
5.333330809958718309332150106	(17,1)
5.33312968599501871680350148	(17,2)
5.331773438262610648228656575	(17,3)
5.327406343260874257132612898	(17,4)
5.317373186908114961838786552	(17,5)
5.29836689552971393726623057	(17,6)
5.266614925243123107427335562	(17,7)
5.218095932250062993701032649	(17,8)
5.148776734266978731034570394	(17,9)
5.05485846740754836459793045	(17,10)
4.933020215453440453752070774	(17,11)
4.78064829609259411694998332	(17,12)
4.596039864363880557034941903	(17,13)
4.3785705397034208085412197525	(17,14)
4.1288173466861240167095476674	(17,15)
3.8486303107502916247220328761	(17,16)
3.5411484640797673379923560924	(17,17)
3.2107586602891574870621333736	(17,18)
2.8629983182494109434177009407	(17,19)
2.5044058582010417117345409998	(17,20)
2.1423250078140348675636996362	(17,21)
1.784671212926365469393037203	(17,22)
1.4396699885802084628549823121	(17,23)
1.1155781287093153138020746254	(17,24)
0.820399234199644242324624691	(17,25)
0.5616050321496263357247418654	(17,26)
0.3458734872164387303853194351	(17,27)
0.1788538135218970617513721272	(17,28)
0.0649672587923268249979108982	(17,29)
0.0072510294773354297463323971	(17,30)
5.333330805246771564531271854	(18,1)
5.333129305734696210512693811	(18,2)
5.331770526290186491724949533	(18,3)
5.327395287964509821682253323	(18,4)
5.317343473340865384320631377	(18,5)
5.298302029847827081606919994	(18,6)
5.26649189833019252080687918	(18,7)
5.217885394286545179956161601	(18,8)
5.148444027651853631089875261	(18,9)
5.054365603810418827367771683	(18,10)
4.932328783248514573162819985	(18,11)
4.779723155189009514894766885	(18,12)
4.594853343151558816794902055	(18,13)
4.3771067164062297339046220646	(18,14)
4.1270759003083931385366571364	(18,15)
3.8466293883236491327261789965	(18,16)
3.5389260474807715087158940159	(18,17)
3.2083720331670668399536316958	(18,18)
2.8605214243192966044144476918	(18,19)
2.5019245861907654597707840435	(18,20)
2.1399307050760374985928367476	(18,21)
1.7824529823598005996827265049	(18,22)
1.4377065247314957476342213511	(18,23)
1.1139299667477200006439232835	(18,24)
0.8191022984298702658555706286	(18,25)
0.5606662714597588138528022699	(18,26)
0.3452691815486983324005765074	(18,27)
0.178530850932554555765772287	(18,28)
0.0648473513860368351919219071	(18,29)
0.0072374998359436549731936046	(18,30)
5.333330799789384349862486516	(19,1)
5.333128865316420127209947065	(19,2)
