s2_(sigma,mu)
-0.00003556622910509680175658214	(13,3)
-0.00006932734706121627527490598	(13,4)
-0.00011376268550217587348317851	(13,5)
-0.0001683819660202471819948537	(13,6)
-0.00023258059586613444668313274	(13,7)
-0.00030564548236712001700032704	(13,8)
-0.00038676225194271759164808025	(13,9)
-0.00047502392510074104918402685	(13,10)
-0.00056944105154311620709878051	(13,11)
-0.00066895324805113367824986654	(13,12)
-0.00077244201134228314645480475	(13,13)
-0.0008787446053825646548486921	(13,14)
-0.00098666875535347317489270336	(13,15)
-0.00109500782617939816667138408	(13,16)
-0.00120255612866469164925682156	(13,17)
-0.00130812398525556945028929943	(13,18)
-0.00141055220189315498808509564	(13,19)
-0.00150872563104832804312953699	(13,20)
-0.00160158556975079246386093181	(13,21)
-0.00168814080903570155154557441	(13,22)
-0.00176747723031319624914971357	(13,23)
-0.00183876592212301976984940983	(13,24)
-0.00190126986074458182451322201	(13,25)
-0.0019543492548596417174273026	(13,26)
-0.00199746569446626675433870342	(13,27)
-0.0020301852660340357865270823	(13,28)
-0.0020521807997452498776788603	(13,29)
-0.00206323340224559852901746299	(13,30)
-8.5782183670509954044545e-7	(14,1)
-7.70629248271517032461119e-6	(14,2)
-0.00002132814310674290593681338	(14,3)
-0.00004157382537595971864206517	(14,4)
-0.00006822061958539076770595584	(14,5)
-0.00010097461176249675698433125	(14,6)
-0.00013947341045807749502669749	(14,7)
-0.00018328965518391662251726015	(14,8)
-0.00023193536160279884835661267	(14,9)
-0.00028486713107297646412965292	(14,10)
-0.00034149222447486188308103124	(14,11)
-0.00040117546418612576356036125	(14,12)
-0.0004632468866698042925171291	(14,13)
-0.00052701002546544455969515599	(14,14)
-0.00059175066506255875750165198	(14,15)
-0.00065674587478690650812099701	(14,16)
-0.00072127311233056286533933608	(14,17)
-0.00078461918147125756388960235	(14,18)
-0.00084608883867367372090570812	(14,19)
-0.00090501286757496534076996568	(14,20)
-0.00096075547604404371469383012	(14,21)
-0.00101272091352759925310021286	(14,22)
-0.00106035925210078053512207073	(14,23)
-0.00110317131845648919828346583	(14,24)
-0.00114071280212197401450473011	(14,25)
-0.00117259759473475417202345461	(14,26)
-0.00119850043479444838989480064	(14,27)
-0.00121815894172900783743462659	(14,28)
-0.0012313751231691254341918521	(14,29)
-0.00123801643146538839851765295	(14,30)
-2.2633169687757087318596e-7	(15,1)
-2.03326456513094337597995e-6	(15,2)
-5.62732854887654722435579e-6	(15,3)
-0.00001096912183578816967952476	(15,4)
-0.00001800004597203933817927831	(15,5)
-0.00002664291092995234779488813	(15,6)
-0.00003680274132400658706051095	(15,7)
-0.00004836778229039903799404958	(15,8)
-0.00006121070173206932865721215	(15,9)
-0.00007518998275030874511007002	(15,10)
-0.00009015149602681671473814249	(15,11)
-0.00010593023679853882155675575	(15,12)
-0.00012235220527038625630336239	(15,13)
-0.00013923640349208797567484037	(15,14)
-0.00015639691671480672954828751	(15,15)
-0.00017364504388784829427748261	(15,16)
-0.00019079144092618455382369645	(15,17)
-0.00020764824198886087689227806	(15,18)
-0.00022403112809748925233965641	(15,19)
-0.00023976131834963713505078678	(15,20)
-0.00025466746572161217772024222	(15,21)
-0.00026858744581114128786735828	(15,22)
-0.00028137003172637016327284709	(15,23)
-0.00029287645089686002640596054	(15,24)
-0.00030298181958709721115011022	(15,25)
-0.00031157644863023362680003874	(15,26)
-0.00031856701017651187579972398	(15,27)
-0.0003238775512058353874389751	(15,28)
-0.00032745033640564815147392697	(15,29)
-0.00032924650179422778706723264	(15,30)
4.6360544985276270448581e-7	(16,1)
4.16482505383714742756397e-6	(16,2)
0.0000115266536188467777324017	(16,3)
0.00002246811874594272160065834	(16,4)
0.00003686840935899538356034389	(16,5)
0.00005456772021204777824984774	(16,6)
0.00007536848058705619721254767	(16,7)
0.0000990370366778743172790002	(16,8)
0.00012530585362170932670063211	(16,9)
0.0001538762889421201296691229	(16,10)
0.00018442196507620361247813439	(16,11)
0.0002165927365674212652722164	(16,12)
0.00025001921027946756616431255	(16,13)
0.0002843177381912026282766162	(16,14)
0.00031909576587120471910935697	(16,15)
0.00035395738942442963844160181	(16,16)
0.00038850895286599091746363687	(16,17)
0.00042236450893505559921764099	(16,18)
0.00045515097057787469648497429	(16,19)
0.00048651279766077030543489693	(16,20)
0.00051611609258625413117911174	(16,21)
0.00054365201690536981801236875	(16,22)
0.00056883948540514595729364797	(16,23)
0.00059142714063301215726994722	(16,24)
0.00061119465537568171773459811	(16,25)
0.00062795344942167494492205226	(16,26)
0.00064154693672364564347281642	(16,27)
0.00065185043736771223084327465	(16,28)
0.0006587708940951432408547487	(16,29)
0.00066224652518897203290936665	(16,30)
1.21080908978979312525191e-6	(17,1)
0.00001087737109012575796371193	(17,2)
0.0000301044506112233303381483	(17,3)
0.00005868067228074546844542101	(17,4)
0.00009629081337102554439769397	(17,5)
0.00014251816247302442205781039	(17,6)
0.00019684789290423459995127074	(17,7)
0.00025867160490289293126937555	(17,8)
0.00032729318152986374185876259	(17,9)
0.00040193606925698471064055059	(17,10)
0.00048175203695713599351638004	(17,11)
0.00056583139069564780673660958	(17,12)
0.00065321453314765184714063126	(17,13)
0.00074290466434591521898583716	(17,14)
0.00083388133450951662640151443	(17,15)
0.00092511448947066131517755589	(17,16)
0.00101557860288405757088706089	(17,17)
0.00110426647268187819051390217	(17,18)
0.00119020227459943751419992737	(17,19)
0.00127245351196230029675734486	(17,20)
0.00135014157385772799420032278	(17,21)
0.00142245070616959529492255715	(17,22)
0.00148863530285760830253852503	(17,23)
0.00154802552879849491017531863	(17,24)
0.001600031381392615373460874	(17,25)
0.00164414537817859718648957594	(17,26)
0.00167994411598642235915262735	(17,27)
0.00170708898000339207953213616	(17,28)
0.00172532628712475693780403225	(17,29)
0.00173448712788992410318788322	(17,30)
2.01332314761537345931858e-6	(18,1)
0.00001808680095809075219736267	(18,2)
0.0000500574267785110459714726	(18,3)
0.00009757372778069706652250415	(18,4)
0.00016011155541028992440352017	(18,5)
0.00023697800831044191583775191	(18,6)
0.0003273170435030252813909968	(18,7)
0.00043011703290175086444563632	(18,8)
0.00054422050732691698757454801	(18,9)
0.00066833627364011536084200956	(18,10)
0.00080105399467904840607000176	(18,11)
0.00094086119338707927864566341	(18,12)
0.00108616249337564220135953077	(18,13)
0.00123530075305272552909843725	(18,14)
0.00138657960615092354426272113	(18,15)
0.00153828680450738594532365771	(18,16)
0.00168871768333415463886335871	(18,17)
0.00183619804456286542388781013	(18,18)
0.00197910578390535906036523016	(18,19)
0.00211589066945358583450444097	(18,20)
0.00224509180548948026451470914	(18,21)
0.0023653524716817050533202253	(18,22)
0.00247543219934524088801021259	(18,23)
0.00257421611668075782996066298	(18,24)
0.00266072174895170882301988319	(18,25)
0.00273410358520820693325366077	(18,26)
0.0027936558118526705346041336	(18,27)
0.00283881366039626043089550437	(18,28)
0.00286915382125736961430530394	(18,29)
0.00288439433977176534854553771	(18,30)
2.868459996536810188438e-6	(19,1)
0.00002576897014063714007670796	(19,2)
0.00007131875788834291630788145	(19,3)
0.00013901702066616108631456406	(19,4)
0.00022811684892205159382088672	(19,5)
0.00033763074776516180923785754	(19,6)
0.0004663385605776156633931023	(19,7)
0.0006127981749611700342053917	(19,8)
0.00077535937061014284959742252	(19,9)
0.00095218108650466906420113758	(19,10)
0.0011412522442471477188691541	(19,11)
0.00134041607564939203566930018	(19,12)
0.00154739768281668809614646701	(19,13)
0.00175983433029571125523137291	(19,14)
0.00197530775655946830379299195	(19,15)
0.00219137762106045350483487758	(19,16)
0.00240561509434165177560214889	(19,17)
0.00261563556636851543948425435	(19,18)
0.00281912949738470127261659034	(19,19)
0.0030138905614884052311958748	(19,20)
0.00319784042216623693534397949	(19,21)
0.00336904971092228969914623969	(19,22)
0.00352575503101388493878740449	(19,23)
0.00366637205395534342533583946	(19,24)
0.0037895049952748608541594759	(19,25)
0.00389395293108714434788910508	(19,26)
0.00397871353722880204490999764	(19,27)
0.0040429848927753446576035883	(19,28)
0.00408616598987546567308253958	(19,29)
0.0041078565365758129492371697	(19,30)
3.77286314673176139223817e-6	(20,1)
0.00003389372535691752381949987	(20,2)
0.00009380498980862328951128438	(20,3)
0.00018284787130526101452359291	(20,4)
0.00030003971860554267202380267	(20,5)
0.00044408115301620115860656478	(20,6)
0.00061336635958979022397770215	(20,7)
0.00080599705646834343341236321	(20,8)
0.00101980064127959107789961917	(20,9)
0.00125235290246597848371876843	(20,10)
0.00150100549184137587941685206	(20,11)
0.00176291809638288802439634432	(20,12)
0.00203509494571611780507018938	(20,13)
0.00231442497801740836236758356	(20,14)
0.00259772469638046893066056157	(20,15)
0.00288178251487309291998727274	(20,16)
0.00316340324785087166427408601	(20,17)
0.00343945135691455311638072949	(20,18)
0.00370689164348658584692646083	(20,19)
0.0039628262537095481858807519	(20,20)
0.00420452712610748059000115275	(20,21)
0.00442946333197451578228384114	(20,22)
0.00463532310002785424829396329	(20,23)
0.00482003064703993459919534663	(20,24)
0.00498175822589951458889490425	(20,25)
0.00511893402998037119492869186	(20,26)
0.00523024674439212621503460877	(20,27)
0.00531464760551750664551531834	(20,28)
0.0053713508222301504728246979	(20,29)
0.0053998331328798052005080911	(20,30)
4.7225836878777722307132e-6	(21,1)
0.00004242559129048824174529965	(21,2)
0.00011741793915663037619462934	(21,3)
0.00022887489011090073802530505	(21,4)
0.00037556608128509977081801485	(21,5)
0.00055586428156265152326181466	(21,6)
0.00076775808551465050211888177	(21,7)
0.00100886923782807091918010041	(21,8)
0.00127647524984364431818346763	(21,9)
0.00156753782666848787953506952	(21,10)
0.00187873737396656638507458494	(21,11)
0.00220651351588876901456677245	(21,12)
0.00254711116056913037998245735	(21,13)
0.0028966312385029544662447354	(21,14)
0.00325108485900965093408117974	(21,15)
0.00360644932736213976048983778	(21,16)
0.00395872427899622608902778086	(21,17)
0.00430398614271702426820739699	(21,18)
0.00463843924936282255258221697	(21,19)
0.00495846214440840512438879366	(21,20)
0.00526064801419519533105346943	(21,21)
0.00554183855576232892584201922	(21,22)
0.00579915106420957453702246788	(21,23)
0.00602999893507794386804231254	(21,24)
0.00623210614516304633443984119	(21,25)
0.00640351655663332149479017272	(21,26)
0.00654259907113943757463971929	(21,27)
0.00664804973862799866023279149	(21,28)
0.00671889190472677508093839594	(21,29)
0.0067544753722746335047508128	(21,30)
5.71316589880810063576596e-6	(22,1)
0.00005132453967055700537761503	(22,2)
0.00014204682186474836094681255	(22,3)
0.00027688212686593849887281641	(22,4)
0.00045434155559579813212782104	(22,5)
0.00067245555773860257224621195	(22,6)
0.00092878904363650507161876456	(22,7)
0.00122046213271395073496552139	(22,8)
0.0015441773873941024375324202	(22,9)
0.00189625420281689531038013353	(22,10)
0.00227267070843336303325367806	(22,11)
0.00266911311018558689767992329	(22,12)
0.003081031900899752728922861	(22,13)
0.00350370384493771355425626405	(22,14)
0.00393229816196987804876828311	(22,15)
0.00436194495411492310291564246	(22,16)
0.00478780369077790958980865046	(22,17)
0.00520512951814407517717589967	(22,18)
0.00560933530359768870228741152	(22,19)
0.00599604764257281849706522012	(22,20)
0.00636115550807457085892527292	(22,21)
0.00670085075811973239551553294	(22,22)
0.00701166027451523412264515077	(22,23)
0.00729047003158187298161488708	(22,24)
0.00753454183960803729384431073	(22,25)
0.00774152384334086555420996725	(22,26)
0.0079094560646145575113221627	(22,27)
0.00803677235833419574227827134	(22,28)
0.0081223001115619005366190293	(22,29)
0.0081652588727797497271744868	(22,30)
6.73973802476915843642798e-6	(23,1)
0.00006054680477621571843622983	(23,2)
0.00016757051021902403381884424	(23,3)
0.000326633470419167016258608	(23,4)
0.00053597868230985920369834699	(23,5)
0.0007932814614486867043905799	(23,6)
0.00109566696775050045491829927	(23,7)
0.00143973442412425809969906573	(23,8)
0.00182158908990093017465059407	(23,9)
0.00223688283337018340485928228	(23,10)
0.00268086376125618942378330217	(23,11)
0.00314843483496995805718416796	(23,12)
0.00363422078308337976007204288	(23,13)
0.00413264197361751371827739192	(23,14)
0.00463799331537232049347321771	(23,15)
0.00514452579067336759066004768	(23,16)
0.0056465279455481300841313657	(23,17)
0.00613840461662784218812514716	(23,18)
0.00661475036545844640236276673	(23,19)
0.00707041549686216898056322396	(23,20)
0.00750056310761903801927429253	(23,21)
0.00790071627614030571177228314	(23,22)
0.00826679518791505455000049864	(23,23)
0.0085951446256465972837752983	(23,24)
0.00888255278183230212648096134	(23,25)
0.00912626273911387369264492587	(23,26)
0.00932397819425355882969712518	(23,27)
0.00947386507690478627383144271	(23,28)
0.00957455064926763327837679015	(23,29)
0.0096251214898666298151809296	(23,30)
7.79710491793073230987429e-6	(24,1)
0.00007004571567873552326551162	(24,2)
0.00019385983621165338055673869	(24,3)
0.00037787713859091025468846766	(24,4)
0.00062006429243739638378602322	(24,5)
0.00091773043491114272250994438	(24,6)
0.00126754708783815613811525454	(24,7)
0.00166557587066714084552569198	(24,8)
0.00210730531027928711234378673	(24,9)
0.00258769778877059235571581599	(24,10)
0.00310124720397471392232464546	(24,11)
0.00364204727749142519991730096	(24,12)
0.00420386969137502621721032141	(24,13)
0.00478025045008377951508918333	(24,14)
0.0053645821442528243667398475	(24,15)
0.00595020923163358876280569854	(24,16)
0.00653052312574702753582172584	(24,17)
0.00709905384158149132058407958	(24,18)
0.0076495551981203487058050201	(24,19)
0.00817608108737687410355425109	(24,20)
