mdd23_(sigma,mu)
-0.0017085656877460768770301718	(17,5)
-0.0025198677627454529616127688	(17,6)
-0.0034598261696984492750053273	(17,7)
-0.0045049829942924405461470762	(17,8)
-0.005625110674636580305147432	(17,9)
-0.006783193922047895686907938	(17,10)
-0.007936082167251532943126528	(17,11)
-0.00903587912173106220304976	(17,12)
-0.010032055833661225912999268	(17,13)
-0.010874188755685398681669128	(17,14)
-0.011515144270192261511834149	(17,15)
-0.011914465158457540792850156	(17,16)
-0.012041670708928667742555531	(17,17)
-0.011879166289763782347638521	(17,18)
-0.011424472945762981904366036	(17,19)
-0.01069153216959862648729894	(17,20)
-0.009710911351036637698939012	(17,21)
-0.008528824631707033239214532	(17,22)
-0.007204983175159775539305196	(17,23)
-0.005809388556833227737588451	(17,24)
-0.004418273716825154681235655	(17,25)
-0.003109469583090420218423444	(17,26)
-0.001957525923814801218385437	(17,27)
-0.001028938475650409674903714	(17,28)
-0.000377829665119693154794834	(17,29)
-0.000042398382526127603251124	(17,30)
-0.0000231675192830315593026343	(18,1)
-0.0002081189091443971332612573	(18,2)
-0.0005758489866159720582092048	(18,3)
-0.0011215524152951794115951158	(18,4)
-0.0018369456681131966944086887	(18,5)
-0.0027091761856404576351899287	(18,6)
-0.0037196767916399165688110559	(18,7)
-0.0048431841489236487698081192	(18,8)
-0.006047142247944901325875064	(18,9)
-0.0072916866253447519691654179	(18,10)
-0.0085303536750238634046131359	(18,11)
-0.009711586514890640730665338	(18,12)
-0.010781021621601684727333815	(18,13)
-0.011684448151789674296199085	(18,14)
-0.012371244948223301446394125	(18,15)
-0.012798028978559924046963631	(18,16)
-0.01293220223834604051843263	(18,17)
-0.012755068217633177863743207	(18,18)
-0.012264206649058881396575436	(18,19)
-0.011474845318598396169102607	(18,20)
-0.010420045403401455841046848	(18,21)
-0.009149614229223113645325474	(18,22)
-0.007727766649057839077910775	(18,23)
-0.006229662845923034132418782	(18,24)
-0.004737046198376523993859318	(18,25)
-0.003333281449226547699861105	(18,26)
-0.002098144640564494116386288	(18,27)
-0.001102738652957768129811951	(18,28)
-0.000404900919760040804072622	(18,29)
-0.000045434583789078536667416	(18,30)
-0.0000246457472301232774684676	(19,1)
-0.0002213981244339871872855518	(19,2)
-0.0006125909791553170242655079	(19,3)
-0.0011931093720452649094462329	(19,4)
-0.0019541324119183690528575756	(19,5)
-0.0028819685254004060077802633	(19,6)
-0.0039568326197477273523909516	(19,7)
