d^1_(sigma,mu)
-296.223197565368879640044	(9,12)
-296.399868279540407910672	(9,13)
-296.607942853107489805426	(9,14)
-296.846847536834469429089	(9,15)
-297.114788581530471146489	(9,16)
-297.408739084409269581199	(9,17)
-297.724481069704719505319	(9,18)
-298.056701474663711063112	(9,19)
-298.399138100905806343666	(9,20)
-298.744769237321055102943	(9,21)
-299.086038699668192668193	(9,22)
-299.415106563446183444238	(9,23)
-299.724114946449533068726	(9,24)
-300.005457835838229395548	(9,25)
-300.252044119327275652413	(9,26)
-300.457543605130654345784	(9,27)
-300.616606812720657234419	(9,28)
-300.72505059032995826725	(9,29)
-300.78000307434929637955	(9,30)
-261.823197689416409611153	(10,1)
-261.823384873970413945398	(10,2)
-261.824647120055609246607	(10,3)
-261.828711490664261909929	(10,4)
-261.838048919607878427756	(10,5)
-261.855736362997510098903	(10,6)
-261.885282438856933694523	(10,7)
-261.930424347426587746415	(10,8)
-261.994905393910737298493	(10,9)
-262.082243626983742849208	(10,10)
-262.195502860000538177006	(10,11)
-262.337077565537429059215	(10,12)
-262.508502758893940205526	(10,13)
-262.710298981560310427708	(10,14)
-262.941860879438215758924	(10,15)
-263.201395715405143202553	(10,16)
-263.485915587204664752071	(10,17)
-263.791284308949374184463	(10,18)
-264.112317054886090602976	(10,19)
-264.442928161831024672014	(10,20)
-264.776320130933689826626	(10,21)
-265.105205013105811917897	(10,22)
-265.422048106069936844075	(10,23)
-265.719323273538835240446	(10,24)
-265.989769195432411361104	(10,25)
-266.226636395013236141361	(10,26)
-266.42391584800315751545	(10,27)
-266.57654122426671940155	(10,28)
-266.68055821008569202847	(10,29)
-266.733255794264543339	(10,30)
-232.364559877176524093812	(11,1)
-232.36473774031187532324	(11,2)
-232.365937126330813376168	(11,3)
-232.369799058408154217624	(11,4)
-232.378671221756986030139	(11,5)
-232.395476623876775980693	(11,6)
-232.423547213265812454098	(11,7)
-232.466429784601243034572	(11,8)
-232.527673048483904213143	(11,9)
-232.610606005398947313031	(11,10)
-232.718118614635056658148	(11,11)
-232.852456070266661738822	(11,12)
-233.015037691909556579597	(11,13)
-233.206310455411266901628	(11,14)
-233.425645535407588808174	(11,15)
-233.67128398377486134953	(11,16)
-233.940334968756536283222	(11,17)
-234.228827047833075596348	(11,18)
-234.531809976635242921365	(11,19)
-234.84350180683742755245	(11,20)
-235.157473715893686267538	(11,21)
-235.466863308854684645711	(11,22)
-235.764606135523477154198	(11,23)
-236.043674893050773215034	(11,24)
-236.297316174616388587676	(11,25)
-236.519275553747769218313	(11,26)
-236.704003092630930486183	(11,27)
-236.846832847284448707901	(11,28)
-236.944131440889389274538	(11,29)
-236.993412153843224308448	(11,30)
-207.1052009783155356492207	(12,1)
-207.1053648063946478129627	(12,2)
-207.1064695466632625037099	(12,3)
-207.1100266906927539389091	(12,4)
-207.1181984453211245528442	(12,5)
-207.1336763600380219739118	(12,6)
-207.159527290076990485196	(12,7)
-207.1990133599179467190317	(12,8)
-207.255394128210057274787	(12,9)
-207.3317204617280981758971	(12,10)
-207.4306305607227532874417	(12,11)
-207.5541589952895567499484	(12,12)
-207.7035693891819800913825	(12,13)
-207.8792204497960157926262	(12,14)
-208.0804733871058011086449	(12,15)
