kuu1111_(sigma,mu)
0.6746502813496858169675177611	(10,4)
0.6746481507069394880398380744	(10,5)
0.6746441144006023048857025967	(10,6)
0.6746373709631773832581589169	(10,7)
0.6746270656722258436942137197	(10,8)
0.6746123405959963418405747894	(10,9)
0.674592386545826388786790253	(10,10)
0.6745664944964739568806665986	(10,11)
0.6745341040354085965669613139	(10,12)
0.6744948465125832845944427779	(10,13)
0.6744485807797771685814610772	(10,14)
0.674395419724482847175107917	(10,15)
0.6743357462037573857804711164	(10,16)
0.6742702174502851198963659518	(10,17)
0.6741997575343935434993880689	(10,18)
0.6741255379978204116105474507	(10,19)
0.674048947302513523880517557	(10,20)
0.6739715502359053125553033466	(10,21)
0.6738950388599641424779586397	(10,22)
0.673821176964903411675901135	(10,23)
0.6737517402737240725743229661	(10,24)
0.6736884548294117146668689122	(10,25)
0.6736329360762069615885641845	(10,26)
0.6735866311184849837155427026	(10,27)
0.6735507665086715662900619625	(10,28)
0.6735263036867428925687251459	(10,29)
0.6735139038792332307953859821	(10,30)
0.6930333141240627366602801114	(11,1)
0.6930332515878878478904229465	(11,2)
0.6930328298844282551778526581	(11,3)
0.6930314719989371393362324774	(11,4)
0.6930283522901925500739418041	(11,5)
0.6930224423120280746811624496	(11,6)
0.6930125686060509903268040652	(11,7)
0.6929974798119115370608974341	(11,8)
0.6929759199934917595774964237	(11,9)
0.6929467047651395824965372015	(11,10)
0.6929087966379632019763041081	(11,11)
0.69286137600255567265295769	(11,12)
0.6928039043246312569876377181	(11,13)
0.6927361764494585237089409189	(11,14)
0.6926583593771514457629035093	(11,15)
0.69257101546348620252835025	(11,16)
0.6924751086925955113292351929	(11,17)
0.6923719934256780570382031522	(11,18)
0.6922633858170217687695747055	(11,19)
0.6921513188669079013297599785	(11,20)
0.6920380828128692967355794703	(11,21)
0.6919261532119061446428989383	(11,22)
0.6918181096072128333860858241	(11,23)
0.6917165480808397031366540776	(11,24)
0.6916239912530263901224966797	(11,25)
0.6915427993919643407781464164	(11,26)
0.6914750862442462454605916744	(11,27)
0.6914226429928292382387816427	(11,28)
0.6913868734083910489393977657	(11,29)
0.6913687427985906326132698838	(11,30)
0.7136653467922404892309004704	(12,1)
0.7136652590009430495393285766	(12,2)
0.71366466699343855012722562	(12,3)
0.7136627607304869899358517411	(12,4)
0.7136583811477848368219987848	(12,5)
0.7136500845012947900236522694	(12,6)
0.713636223536745279601319169	(12,7)
0.7136150417620621860493315914	(12,8)
0.7135847764674481256560894963	(12,9)
0.7135437656898383373722102128	(12,10)
0.7134905540809345735305908122	(12,11)
0.7134239926271313027688199203	(12,12)
0.713343327391638767001072925	(12,13)
0.7132482728989183156869863454	(12,14)
0.7131390664421199550214713031	(12,15)
0.7130165004366409682668326169	(12,16)
0.7128819309275706182372558687	(12,17)
0.7127372614373814445782862922	(12,18)
0.712584902458804666693475196	(12,19)
0.7124277080002187933774157372	(12,20)
0.7122688916224396004673440776	(12,21)
0.7121119253169468066851317121	(12,22)
0.7119604253248178537433422175	(12,23)
0.7118180295517289911828408229	(12,24)
0.711688271577559500927925203	(12,25)
0.7115744563812708777004613975	(12,26)
0.7114795428056144312171762882	(12,27)
0.7114060374841136160490954927	(12,28)
0.7113559044645662578854152779	(12,29)
0.7113304941145621123375323891	(12,30)
0.735782122660711812660952072	(13,1)
0.7357820038354588096336826211	(13,2)
0.7357812025553344203296461965	(13,3)
0.7357786224376402813618595636	(13,4)
0.7357726947090179982435026417	(13,5)
0.7357614653261077601619271939	(13,6)
0.7357427048964682876617629492	(13,7)
0.735714036369417602475949086	(13,8)
0.735673074600253283683867096	(13,9)
0.7356175712742744392522308075	(13,10)
0.735545558344373746558304317	(13,11)
0.7354554831122225409714724809	(13,12)
0.7353463283792073605905695753	(13,13)
0.7352177117043443796398821136	(13,14)
0.7350699587101170351431881061	(13,15)
0.7349041465338623714417438527	(13,16)
0.7347221148763704597362409911	(13,17)
0.7345264435823222121984473696	(13,18)
0.7343203972222481109748781292	(13,19)
0.7341078386530017065041607992	(13,20)
0.7338931149361610489846190891	(13,21)
0.7336809202222482989281626644	(13,22)
0.7334761412067193468093199307	(13,23)
0.7332836914905216995129571891	(13,24)
0.7331083416099830832239125154	(13,25)
0.7329545516311506218507247776	(13,26)
0.732826313041047248272862903	(13,27)
0.7327270062339052443724632436	(13,28)
0.7326592792149889731732384726	(13,29)
0.7326249522650507495224885045	(13,30)
0.7584593346864863884503653696	(14,1)
0.7584591789160064123525997516	(14,2)
0.7584581285016642202697482	(14,3)
0.7584547461770716071336800417	(14,4)
0.7584469754294342149326494768	(14,5)
0.7584322547514118552303358013	(14,6)
0.7584076618249319251440178737	(14,7)
0.7583700810519560118512851474	(14,8)
0.7583163866997972492973075458	(14,9)
0.7582436331038660448930710853	(14,10)
0.7581492429181093742960252695	(14,11)
0.7580311843589497180885391334	(14,12)
0.7578881287703644995161294028	(14,13)
0.7577195806422004854530752599	(14,14)
0.7575259734128656862829999219	(14,15)
0.7573087259283034218225540819	(14,16)
0.7570702562358142593704695957	(14,17)
0.7568139513695035168961394779	(14,18)
0.7565440938275598742877866857	(14,19)
0.7562657474398883779028735254	(14,20)
0.7559846071720129058443919911	(14,21)
0.755706819014286435009896532	(14,22)
0.7554387773898956260453172395	(14,23)
0.7551869084296891606154047883	(14,24)
0.7549574479800940821270903243	(14,25)
0.7547562233298277992950866616	(14,26)
0.7545884473801345130096717685	(14,27)
0.754458533376543360218335102	(14,28)
0.7543699374134128298440054656	(14,29)
0.7543250347675543185493096589	(14,30)
0.7807053933935395462753923027	(15,1)
0.7807051948103228043085874194	(15,2)
0.7807038556953296559834463503	(15,3)
0.7806995437628797572108133384	(15,4)
0.7806896373129139305664812712	(15,5)
0.7806708709463321566695542927	(15,6)
0.7806395194994752181526592313	(15,7)
0.7805916118162016196556745541	(15,8)
0.7805231644963508536265939892	(15,9)
0.7804304246854743539421864919	(15,10)
0.7803101103702035922535354385	(15,11)
0.7801596365680132885621421032	(15,12)
0.7799773162779080475504095114	(15,13)
0.7797625260890308926788916722	(15,14)
0.7795158278933097480642544697	(15,15)
0.7792390401473675007667526408	(15,16)
0.7789352544771638782350111446	(15,17)
0.7786087959892941957541509925	(15,18)
0.7782651283019496503402687712	(15,19)
0.7779107068875499275511323148	(15,20)
0.7775527866864795983077882788	(15,21)
0.7771991919842745903433194113	(15,22)
0.7768580581477418398497536336	(15,23)
0.776537555926862432267685518	(15,24)
0.7762456096219119845758727911	(15,25)
0.7759896204948727373441727081	(15,26)
0.775776206404346288936418169	(15,27)
0.7756109678175299378944861947	(15,28)
0.7754982891673409387627522345	(15,29)
0.7754411830480555171877899337	(15,30)
0.8015645585160097402425283341	(16,1)
0.8015643113688376115314401449	(16,2)
0.8015626447710291951599482691	(16,3)
0.8015572783560147525553186861	(16,4)
0.8015449493296409108123620208	(16,5)
0.8015215939060559019378427846	(16,6)
0.8014825763929394729097172465	(16,7)
0.8014229555131579746541076244	(16,8)
0.8013377756850330823910285787	(16,9)
0.8012223696157284160286042503	(16,10)
0.8010726577823967068037111218	(16,11)
0.8008854302554827776391674869	(16,12)
0.8006585969008165212131742766	(16,13)
0.8003913932865502822102791531	(16,14)
0.8000845315775141727973836612	(16,15)
0.7997402882359694121383185193	(16,16)
0.7993625233326166696332250068	(16,17)
0.7989566295378434179837192537	(16,18)
0.7985294122207032982365778429	(16,19)
0.79808890533582222135849382	(16,20)
0.7976441307411309673372256961	(16,21)
0.7972048111037706723442927384	(16,22)
0.796781048498745712200273437	(16,23)
0.7963829821125220580525999427	(16,24)
0.7960204391074689616239341402	(16,25)
0.7957025927025452337349113391	(16,26)
0.7954376409362828345745929417	(16,27)
0.7952325184797277462950649835	(16,28)
0.7950926523518876230766898093	(16,29)
0.7950217705523584905699473224	(16,30)
0.8202144192699706913840488975	(17,1)
0.820214117849775980274257294	(17,2)
0.8202120852713254633183733744	(17,3)
0.8202055404157370236538327809	(17,4)
0.8201905040515031693621986711	(17,5)
0.8201620202296028559978987205	(17,6)
0.8201144359053055639015247224	(17,7)
0.8200417261119967531162738311	(17,8)
0.8199378497061123637372781629	(17,9)
0.8197971189918497195068371167	(17,10)
0.8196145655389964686581232968	(17,11)
0.8193862843250463314007654078	(17,12)
0.8191097390261740748346112937	(17,13)
0.8187840128639049435169791457	(17,14)
0.8184099918396492368752882592	(17,15)
0.8179904703488342297724234658	(17,16)
0.8175301728917365875507875706	(17,17)
0.8170356896726226230516282098	(17,18)
0.8165153280556018469865374082	(17,19)
0.8159788858702766082262787655	(17,20)
0.8154373561947475432244166461	(17,21)
0.8149025762878408901805400458	(17,22)
0.8143868356512414239779717171	(17,23)
0.8139024596940261644428545487	(17,24)
0.8134613861300712491197075842	(17,25)
0.8130747511039606714812053587	(17,26)
0.8127525011993452201736258812	(17,27)
0.8125030460497605909007185935	(17,28)
0.8123329643718089429601745512	(17,29)
0.812246773996779415785589284	(17,30)
0.8360407810130406485256019661	(18,1)
