muu13_(sigma,mu)
-9.74179502516096522966727	(8,15)
-9.73178498703193560123949	(8,16)
-9.72078732911823416195422	(8,17)
-9.7089557452643278962944	(8,18)
-9.69648575620070354427279	(8,19)
-9.68360975211733507092431	(8,20)
-9.67059032186257429295098	(8,21)
-9.65771211367468480264993	(8,22)
-9.64527253932466317223474	(8,23)
-9.63357168852141994562071	(8,24)
-9.622901860644926634827	(8,25)
-9.61353714405985159820905	(8,26)
-9.60572347781709521455761	(8,27)
-9.59966961569310446972696	(8,28)
-9.5955393784098627587446	(8,29)
-9.5934455276895299403184	(8,30)
-9.2176580989145274730398	(9,1)
-9.21764974867537999459259	(9,2)
-9.21759343999741344439586	(9,3)
-9.21741212513774795820555	(9,4)
-9.2169955536494761570794	(9,5)
-9.21620638115978498449002	(9,6)
-9.21488786721992997194585	(9,7)
-9.21287280582613654000404	(9,8)
-9.2099932750091372445991	(9,9)
-9.20609075341922145440058	(9,10)
-9.20102613356375492977531	(9,11)
-9.19468916380829348983489	(9,12)
-9.18700687404385142473169	(9,13)
-9.17795058183620458882884	(9,14)
-9.1675411349737203096602	(9,15)
-9.1558521200848667668001	(9,16)
-9.14301085239115151209766	(9,17)
-9.12919705530746640388806	(9,18)
-9.11463923683141808741907	(9,19)
-9.09960886861523621577031	(9,20)
-9.08441256932497001175526	(9,21)
-9.0693825824011905659705	(9,22)
-9.05486591581360647343245	(9,23)
-9.04121257430514529736654	(9,24)
-9.02876335986812419155366	(9,25)
-9.01783774135364711478787	(9,26)
-9.00872229757780189022653	(9,27)
-9.00166021941794694682259	(9,28)
-8.99684231561944188021656	(9,29)
-8.9943999058855128960642	(9,30)
-8.74180928508713233328051	(10,1)
-8.74179956947795144920684	(10,2)
-8.74173405363948652742136	(10,3)
-8.74152309184167104818851	(10,4)
-8.74103840796751217011925	(10,5)
-8.74012020612241213952877	(10,6)
-8.73858613305330892547345	(10,7)
-8.73624167834517801207814	(10,8)
-8.73289153100567572265902	(10,9)
-8.72835136521767105078588	(10,10)
-8.72245950566279037120155	(10,11)
-8.71508792476467797040841	(10,12)
-8.70615205026794172670597	(10,13)
-8.69561891053189476544163	(10,14)
-8.68351321461027877485264	(10,15)
-8.66992105161517147249894	(10,16)
-8.65499099533740509618294	(10,17)
-8.63893251137969199356433	(10,18)
-8.6220116805169166651274	(10,19)
-8.60454436875636523653035	(10,20)
-8.58688708668495355654219	(10,21)
-8.5694258833293793019119	(10,22)
-8.55256370839531844532017	(10,23)
-8.53670674738177001675951	(10,24)
-8.52225028338730406870698	(10,25)
-8.50956466503190640096727	(10,26)
-8.4989819604480314431709	(10,27)
-8.49078385251946467633621	(10,28)
-8.4851912814054803728503	(10,29)
-8.482356268950665225874	(10,30)
-8.353918218054424905745976	(11,1)
-8.353906984601434349451059	(11,2)
-8.353831233433978454700986	(11,3)
-8.353587314182755908688394	(11,4)
-8.353026913182384566017944	(11,5)
-8.351965279712174734456811	(11,6)
-8.350191598006518516621192	(11,7)
-8.347481027350217034889496	(11,8)
-8.343607853404994974169147	(11,9)
