H1_(sigma,mu)
0.18837531453339637330397853407	(13,14)
0.18833745769681893825883404492	(13,15)
0.18829497378986431386037582036	(13,16)
0.18824833417524514972071937455	(13,17)
0.18819819985315972393627617761	(13,18)
0.1881454072622447913963062708	(13,19)
0.1880909461322949434325592673	(13,20)
0.18803593025461175650536324931	(13,21)
0.18798156235060278381658873698	(13,22)
0.18792909447497084033858829511	(13,23)
0.18787978557606448057277212331	(13,24)
0.18783485794663716009893874413	(13,25)
0.18779545433166236310743665877	(13,26)
0.18776259741817745427242305336	(13,27)
0.18773715332082659364940296348	(13,28)
0.18771980050371180094833046604	(13,29)
0.18771100535380090575635098711	(13,30)
0.26123751988011060326601230055	(14,1)
0.2612374662278025644824438242	(14,2)
0.26123710443169161782826182349	(14,3)
0.26123593945151721072142232049	(14,4)
0.26123326295885957115990577609	(14,5)
0.26122819268911451686697911614	(14,6)
0.26121972210298498300284269331	(14,7)
0.26120677808940584603227222103	(14,8)
0.2611882840466166930363128275	(14,9)
0.26116322539403740376812801366	(14,10)
0.26113071441170729874900193281	(14,11)
0.26109005128873547014753955705	(14,12)
0.26104077839372595762889504821	(14,13)
0.2609827250572208402321114922	(14,14)
0.2609160405691946110795153374	(14,15)
0.26084121362532068822934697798	(14,16)
0.26075907707800244292898718308	(14,17)
0.2606707975295202576347402551	(14,18)
0.26057785000846767486196120355	(14,19)
0.26048197865893389071673852909	(14,20)
0.26038514500819033843408657123	(14,21)
0.26028946593080575470079145715	(14,22)
0.26019714386951892866559948533	(14,23)
0.26011039218819600430327959157	(14,24)
0.26003135871069576165074399602	(14,25)
0.25996205054060641148217182108	(14,26)
0.25990426316692800400277744498	(14,27)
0.25985951665179693612661368299	(14,28)
0.25982900138404144541661643838	(14,29)
0.25981353548454799244144718822	(14,30)
0.3532812263188075779477367707	(15,1)
0.3532811364568405278861841784	(15,2)
0.3532805304866615530002197971	(15,3)
0.3532785792707527162873563787	(15,4)
0.3532740964494195876472942097	(15,5)
0.3532656043792281173470654968	(15,6)
0.3532514173661932208223784047	(15,7)
0.3532297384009392195953543873	(15,8)
0.3531987649334830712557692628	(15,9)
0.3531567987393306136198383444	(15,10)
0.3531023546568351614240293856	(15,11)
0.3530342629415524320025724979	(15,12)
0.3529517601995242208408682607	(15,13)
0.352854564327726881845161347	(15,14)
0.3527429295909202533117616682	(15,15)
0.3526176788687605761478859607	(15,16)
0.3524802111696569302282081193	(15,17)
0.3523324836710220535224159228	(15,18)
0.3521769687443177771532683725	(15,19)
0.3520165875903353247390649582	(15,20)
0.3518546231814450934662209031	(15,21)
0.3516946161274758253377086567	(15,22)
0.3515402478073272034144200274	(15,23)
0.3513952156113307008759722539	(15,24)
0.3512631054075266544826087077	(15,25)
0.3511472663810641857549340852	(15,26)
0.3510506932149852736444129601	(15,27)
0.3509759202070367540535346808	(15,28)
0.3509249313807066515369429698	(15,29)
0.3508990899813488630235920354	(15,30)
0.4671015048416527710653311836	(16,1)
0.4671013608197960257933523927	(16,2)
0.4671003896312173811461428412	(16,3)
0.4670972624214346884965707569	(16,4)
0.4670900778388439664788830291	(16,5)
0.4670764677641633080770424104	(16,6)
0.467053730806923576386233249	(16,7)
0.467018987501010101577894102	(16,8)
0.4669693500445175739937698534	(16,9)
0.4669020986321798451762697808	(16,10)
0.4668148559741819524751161972	(16,11)
0.4667057515250890593238712482	(16,12)
0.4665735672859192925872064199	(16,13)
0.466417857793780618034594962	(16,14)
0.4662390380536284151260053441	(16,15)
0.4660384346447589283633448792	(16,16)
0.4658182969740526415191438363	(16,17)
0.4655817675512754142161662563	(16,18)
0.4653328121182906887074549336	(16,19)
0.4650761123595064434896472759	(16,20)
0.4648169256473590757275458683	(16,21)
0.4645609177418980406122016341	(16,22)
0.4643139754982573815293075651	(16,23)
0.4640820073978012113969371577	(16,24)
0.4638707400938380285838064219	(16,25)
0.4636855191625093672121990677	(16,26)
0.4635311219060229470547689708	(16,27)
0.4634115894153261486208334694	(16,28)
0.4633300842164043681191572235	(16,29)
0.4632887787533893377970886244	(16,30)
0.6047605160535023872068861104	(17,1)
0.6047602938103569122932186478	(17,2)
0.6047587951495631311636336178	(17,3)
0.604753969496477583985926105	(17,4)
0.604742882884026015895375108	(17,5)
0.6047218811917527425065529518	(17,6)
0.6046867963165761995634071812	(17,7)
0.604633185929962029748123257	(17,8)
0.6045565957757870526120534305	(17,9)
0.6044528322020403179917401464	(17,10)
0.6043182318856338557925120297	(17,11)
0.6041499155752760339492790022	(17,12)
0.6039460131886208338967765167	(17,13)
0.6037058487665404054878421329	(17,14)
0.6034300755756166672851637115	(17,15)
0.6031207539795556858307926057	(17,16)
0.6027813674470191728774832882	(17,17)
0.6024167750675809750112941622	(17,18)
0.6020331020271533121216266089	(17,19)
0.6016375724617027216123867709	(17,20)
0.6012382917878482804186004919	(17,21)
0.6008439878535627006932054947	(17,22)
0.6004637219545344194389143389	(17,23)
0.6001065818616912184078895803	(17,24)
0.5997813694905257045869506406	(17,25)
0.5994962957434400285108303322	(17,26)
0.599258694435739429718741708	(17,27)
0.599074766158631991076383273	(17,28)
0.5989493615316067392397613271	(17,29)
0.5988858116421423537659911266	(17,30)
0.7678246325828972462262157604	(18,1)
0.7678243004993583489048325488	(18,2)
0.7678220611486955783261788922	(18,3)
0.7678148505044064372000444412	(18,4)
0.7677982846109156484082766156	(18,5)
0.7677669036452039017339761846	(18,6)
0.7677144802693209688212741597	(18,7)
0.767634378340524599824418421	(18,8)
0.7675199454654222336091811096	(18,9)
0.7673649209474425884759278318	(18,10)
0.7671638395255333769350831196	(18,11)
0.7669124110572823543151485871	(18,12)
0.7666078570430941964586846775	(18,13)
0.7662491866436556564493526994	(18,14)
0.7658373975640432756426336239	(18,15)
